,date,PriceUSD,tw_polarity,tw_subjectivity,news_polarity,FeeMeanUSD,RevUSD,RevHashUSD,HashRate,DiffMean,SplyAdrTop10Pct,BlkSizeMeanByte,BlkCnt,TxCnt,AdrActCnt,FlowInExUSD,FlowOutExUSD,IssContUSD,NDF,ROI1yr,ROI30d,SplyCur,SER,TxTfrValAdjUSD,Volume,VtyDayRet30d,year,month,day
0,11/1/2021,4325.78806,0.02371125,0.167990247,2.177272727,51.82553955,66056713.86,0.996236032,767.4338963,1.03E+16,116980310.6,65442.14868,6423,1341733,659286,876532023.5,1123652543,58476814.09,0.67061781,993.5366571,27.45934859,117448045.4,0.049791283,9834653913,18064.59457,0.031075473,2021,11,1
1,11/2/2021,4586.379504,0.064757143,0.202143651,1.185,58.01980192,70687135.33,1.071424694,763.5983609,1.05E+16,116975519,65874.34496,6308,1395656,676773,1603314060,1724405568,61229599.62,0.671154125,1094.841634,34.08745142,117445802.1,0.049731848,11553123644,23535.33317,0.032409124,2021,11,2
2,11/3/2021,4598.852129,0.094969415,0.190958969,0.397272727,53.39282325,70882685.37,1.058395845,775.136689,1.05E+16,116971120,65289.97024,6385,1417221,698046,1890249703,2515745951,61836165.72,0.670628821,1083.598877,35.59442467,117444761.3,0.0497782,16359319688,20886.65084,0.03225613,2021,11,3
3,11/4/2021,4535.601844,0.086154095,0.269626409,-0.366666667,48.5197674,67522488.18,1.047279085,746.2292438,1.03E+16,116968835.5,64493.94699,6282,1352186,667720,1230877402,1477177429,59757404.72,0.670800889,1028.83309,28.8371555,117445183.4,0.049830335,11384816559,14110.61024,0.032124016,2021,11,4
4,11/5/2021,4476.897314,0.170270563,0.256662458,1.322222222,45.76268954,67658049.83,1.016773268,770.161161,1.03E+16,116967920.5,63036.3686,6446,1339661,653773,1307366071,1470592664,60333466.26,0.67049775,973.6032888,24.7590791,117446602.2,0.049885572,10326044888,13151.56916,0.032291209,2021,11,5
5,11/6/2021,4511.642562,0.075245581,0.223823232,0.961111111,42.05730153,66754776.19,1.014725999,761.4121699,1.04E+16,116969506.9,62972.41458,6339,1255921,626350,991701888.4,1079209086,59971290.74,0.670222322,888.4244732,25.69675621,117449690.6,0.049925363,7195715710,14125.61144,0.032263119,2021,11,6
6,11/7/2021,4609.291091,0.035833333,0.221388889,0.6,36.51933884,67803855.65,0.997015976,787.1156194,1.05E+16,116972536.4,63395.81324,6452,1276998,635935,553967983.8,596967927.5,62360539.58,0.670524218,955.3080098,29.43468933,117454283.3,0.049976727,5484767837,10429.26033,0.032220775,2021,11,7
7,11/8/2021,4811.156463,0.014130366,0.241950758,0.436363636,46.67759298,72844540.6,1.074481112,784.6653605,1.07E+16,116972909.6,63552.84857,6346,1329018,652986,1801489532,1524874983,64106554.99,0.670378975,956.524568,34.39464913,117456530,0.04993246,10866673127,15375.43645,0.032812341,2021,11,8
8,11/9/2021,4735.696747,0.069159486,0.206443556,1.587878788,62.15294431,71821576.72,1.035518,802.7559632,1.09E+16,116967325.9,67095.69664,6372,1334145,615664,1469169916,1439778376,63101679.24,0.670861251,965.2835576,37.98643297,117454186.2,0.050047758,10402976789,12240.81827,0.031704646,2021,11,9
9,11/10/2021,4619.955129,0.052460654,0.215897565,0.466666667,56.50804843,71083958.25,1.050141016,783.4481141,1.06E+16,116967562.5,68128.94516,6382,1390746,667074,1313991606,1419913697,61958506.98,0.670785159,923.2421575,31.26487193,117452561.8,0.050084975,11003618994,21539.53957,0.032225867,2021,11,10
10,11/11/2021,4727.746316,0.123230927,0.197214542,1.084848485,56.81625793,72159750.05,1.031435079,809.7284158,1.10E+16,116968918.3,64004.11753,6373,1347643,648382,1269236667,1112342709,63124868.81,0.670955145,918.4368703,35.41661111,117451629.4,0.050122649,11449481069,15930.56088,0.032156054,2021,11,11
11,11/12/2021,4662.7612,0.008288203,0.252736328,0.818181818,52.22263829,70079807.96,0.997874001,812.8369794,1.09E+16,116970742.3,61834.19312,6421,1345131,643078,1487821697,1445528488,62452440.67,0.670720103,907.3663144,29.60888612,117451593.7,0.050117836,11676423221,3730.531972,0.032217061,2021,11,12
12,11/13/2021,4644.942487,0.281724387,0.350000601,0.83771645,47.06611794,67854455.15,0.957862542,819.9010352,1.12E+16,116973543.3,64644.17847,6326,1300464,645915,555686394.8,1211142778,61245889.16,0.670965918,874.6583748,22.6697656,117453024.6,0.050166741,7499724212,3310.371477,0.031263213,2021,11,13
13,11/14/2021,4609.516567,0.068635484,0.243049528,0.6,41.16215693,66881362.49,0.959108492,807.0930972,1.10E+16,116977332,64874.47234,6345,1275744,643454,731682753.6,1174770913,61024813.64,0.670726813,896.5413532,19.36457239,117456141.9,0.050218737,6626158317,6642.759462,0.031273903,2021,11,14
