date,PriceUSD
11/1/2021,4325.78806
11/2/2021,4586.379504
11/3/2021,4598.852129
11/4/2021,4535.601844
11/5/2021,4476.897314
11/6/2021,4511.642562
11/7/2021,4609.291091
11/8/2021,4811.156463
11/9/2021,4735.696747
11/10/2021,4619.955129
11/11/2021,4727.746316
11/12/2021,4662.7612
11/13/2021,4644.942487
11/14/2021,4609.516567
11/15/2021,4569.40777
11/16/2021,4234.131465
11/17/2021,4265.599006
11/18/2021,3985.674373
11/19/2021,4291.28635
11/20/2021,4413.144251
11/21/2021,4310.080434
11/22/2021,4096.772401
11/23/2021,4348.156228
11/24/2021,4261.969114
11/25/2021,4526.042951
11/26/2021,4052.008568
11/27/2021,4086.923302
11/28/2021,4291.079171
11/29/2021,4448.409991
11/30/2021,4645.053627
12/1/2021,4584.534451
12/2/2021,4527.544757
12/3/2021,4232.933151
12/4/2021,4097.761261
12/5/2021,4190.580693
12/6/2021,4341.941021
12/7/2021,4303.762652
12/8/2021,4427.312634
12/9/2021,4157.28748
12/10/2021,3931.613105
12/11/2021,4079.584985
12/12/2021,4140.987691
12/13/2021,3788.082337
12/14/2021,3850.763308
12/15/2021,4015.642312
12/16/2021,3973.451095
12/17/2021,3885.430082
